id,Pelicula,Año estreno,Director
1,Forest Gump,1994,Robert Zemeckis
2,Titanic,1997,James Cameron
3,El Padrino,1972,Francis Ford Coppola
4,Gladiator,2000,Ridley Scott
5,El Señor de los anillos: El retorno del rey,2003,Peter Jackson
6,El caballero oscuro,2008,Christopher Nolan
7,Cadena perpetua,1994,Frank Darabont
8,Piratas del Caribe: La maldición de la Perla Negra,2003,Gore Verbinski
9,Braveheart,1995,Mel Gibson
10,La lista de Schindler,1993,Steven Spielberg
11,Toy Story,1995,John Lasseter
12,Eduardo Manostijeras,1990,Tim Burton
13,El Señor de los anillos: La comunidad del anillo,2001,Peter Jackson
14,Salvar al soldado Ryan,1998,Steven Spielberg
15,Regreso al futuro,1985,Robert Zemeckis
16,Monstruos S.A.,2001,Pete Docter
17,Buscando a Nemo,2003,Andrew Stanton
18,El Señor de los anillos: Las dos torres,2002,Peter Jackson
19,Harry Potter y el Prisionero de Azkaban,2004,Alfonso Cuarón
20,American History X,1998,Tony Kaye
21,300,2007,Zack Snyder
22,El sexto sentido,1999,M. Night Shyamalan
23,Pulp Fiction,1994,Quentin Tarantino
24,V de Vendetta,2005,James McTeigue
25,El silencio de los corderos,1991,Jonathan Demme
26,Rocky,1976,John G. Avildsen
27,El club de la pelea,1999,David Fincher
28,E.T,1982,Steven Spielberg
29,Parque Jurásico,1993,Steven Spielberg
30,Matrix,1999,Andy y Lana Wachowski
31,La milla verde,1999,Frank Darabont
32,Ratatouille,2007,Brad Bird
33,Grease,1978,Randal Kleiser
34,El Padrino. Parte II,1974,Francis Ford Coppola
35,Wall-E,2008,Andrew Stanton
36,Iron Man,2008,Jon Favreau
37,El exorcista,1973,William Friedkin
38,Piratas del Caribe: El cofre del hombre muerto,2006,Gore Verbinski
39,Seven,1995,David Fincher
40,Terminator 2: el juicio final,1991,James Cameron
41,El resplandor,1980,Stanley Kubrick
42,Hombres de negro,1997,Barry Sonnenfeld
43,Spider-Man,2002,Sam Raimi
44,Regreso al futuro II,1989,Robert Zemeckis
45,El show de Truman,1998,Peter Weir
46,Toy Story 2,1999,John Lasseter
47,Pesadilla antes de navidad,1993,Henry Selick
48,Star Wars. Episodio IV: Una nueva esperanza,1977,George Lucas
49,Saw,2004,James Wan
50,Terminator,1984,James Cameron
51,Kill Bill Vol. 1,2003,Quentin Tarantino
52,Lo que el viento se llevó,1939,Victor Fleming
53,El Laberinto del Fauno,2006,Guillermo del Toro
54,Los increíbles,2004,Brad Bird
55,El viaje de Chihiro,2001,Hayao Miyazaki
56,El precio del poder,1983,Brian De Palma
57,King Kong,2005,Peter Jackson
58,Ben-Hur,1959,William Wyler
59,Indiana Jones y la última cruzada,1989,Steven Spielberg
60,Infiltrados,2006,Martin Scorsese
61,Entrevista con el vampiro,1994,Neil Jordan
62,Batman Begins,2005,Christopher Nolan
63,En busca del arca perdida,1981,Steven Spielberg
64,Star Wars. Episodio III: La venganza de los Sith,2005,George Lucas
65,Alien,1979,Ridley Scott
66,El bueno el feo y el malo,1966,Sergio Leone
67,Star Wars. Episodio V: El imperio contraataca,1980,Irvin Kershner
68,El Padrino. Parte III,1990,Francis Ford Coppola
69,Star Wars. Episodio VI: El retorno del Jedi,1983,Richard Marquand
70,Escuela de Rock,2003,Richard Linklater
71,El planeta de los simios,1968,Franklin J. Schaffner
72,Rambo,1982,Ted Kotcheff
73,Full Metal Jacket,1987,Stanley Kubrick
74,Tiburón,1975,Steven Spielberg
75,El profesional,1994,Luc Besson
76,American Beauty,1999,Sam Mendes
77,Casablanca,1942,Michael Curtiz
78,Amélie,2001,Jean-Pierre Jeunet
79,Trainspotting,1996,Danny Boyle
80,axi driver,1976,Martin Scorsese
81,Alguien voló sobre el nido del cuco,1975,Milos Forman
82,Kill Bill Vol. 2,2004,Quentin Tarantino
83,Spider-Man 2,2004,Sam Raimi
84,X-Men 2,2003,Bryan Singer
85,Transformers,2007,Michael Bay
86,Star Wars. Episodio I: La amenaza fantasma,1999,George Lucas
87,Blade Runner,1982,Ridley Scott
88,Apocalypse Now,1979,Francis Ford Coppola
89,Mejor... imposible,1997,James L. Brooks
90,La vida de Brian,1979,Terry Jones
91,El libro de la selva,1967,Wolfgang Reitherman
92,Los cazafantasmas,1984,Ivan Reitman
93,Sweeney Todd: El barbero diabólico de la calle Fleet,2007,Tim Burton
94,Ocean's Eleven,2001,Steven Spielberg
95,Blancanieves y los siete enanitos,1937,David Hand
96,Predator,1987,John McTiernan
97,Indiana Jones y el templo maldito,1984,Steven Spielberg
98,Uno de los nuestros,1990,Martin Scorsese
99,Mouling Rouge,2001,Baz Luhrmann
100,Psicosis,1960,Alfred Hitchcock