pokedex,nombre,tipo1,tipo2
1,Bulbasaur,planta,veneno
2,Ivysaur,planta,veneno
3,Venusaur,planta,veneno
4,Charmander,fuego,
5,Charmeleon,fuego,
6,Charizard,fuego,volador
7,Squirtle,agua,
8,Wartortle,agua,
9,Blastoise,agua,
10,Caterpie,bicho,
11,Metapod,bicho,
12,Butterfree,bicho,volador
13,Weedle,bicho,veneno
14,Kakuna,bicho,veneno
15,Beedrill,bicho,veneno
16,Pidgey,normal,volador
17,Pidgeotto,normal,volador
18,Pidgeot,normal,volador
19,Rattata,normal,
20,Raticate,normal,
21,Spearow,normal,volador
22,Fearow,normal,volador
23,Ekans,veneno,
24,Arbok,veneno,
25,Pikachu,electrico,
26,Raichu,electrico,
27,Sandshrew,tierra,
28,Sandslash,tierra,
29,Nidoran,veneno,
30,Nidorina,veneno,
31,Nidoqueen,veneno,tierra
32,Nidoran,veneno,
33,Nidorino,veneno,
34,Nidoking,veneno,tierra
35,Clefairy,hada,
36,Clefable,hada,
37,Vulpix,fuego,
38,Ninetales,fuego,
39,Jigglypuff,normal,hada
40,Wigglytuff,normal,hada
41,Zubat,veneno,volador
42,Golbat,veneno,volador
43,Oddish,planta,veneno
44,Gloom,planta,veneno
45,Vileplume,planta,veneno
46,Paras,bicho,planta
47,Parasect,bicho,planta
48,Venonat,bicho,veneno
49,Venomoth,bicho,veneno
50,Diglett,tierra,
51,Dugtrio,tierra,
52,Meowth,normal,
53,Persian,normal,
54,Psyduck,agua,
55,Golduck,agua,
56,Mankey,lucha,
57,Primeape,lucha,
58,Growlithe,fuego,
59,Arcanine,fuego,
60,Poliwag,agua,
61,Poliwhirl,agua,
62,Poliwrath,agua,lucha
63,Abra,psiquico,
64,Kadabra,psiquico,
65,Alakazam,psiquico,
66,Machop,lucha,
67,Machoke,lucha,
68,Machamp,lucha,
69,Bellsprout,planta,veneno
70,Weepinbell,planta,veneno
71,Victreebel,planta,veneno
72,Tentacool,agua,veneno
73,Tentacruel,agua,veneno
74,Geodude,roca,tierra
75,Graveler,roca,tierra
76,Golem,roca,tierra
77,Ponyta,fuego,
78,Rapidash,fuego,
79,Slowpoke,agua,psiquico
80,Slowbro,agua,psiquico
81,Magnemite,electrico,acero
82,Magneton,electrico,acero
83,Farfetchd,normal,volador
84,Doduo,normal,volador
85,Dodrio,normal,volador
86,Seel,agua,
87,Dewgong,agua,hielo
88,Grimer,veneno,
89,Muk,veneno,
90,Shellder,agua,
91,Cloyster,agua,hielo
92,Gastly,fantasma,veneno
93,Haunter,fantasma,veneno
94,Gengar,fantasma,veneno
95,Onix,roca,tierra
96,Drowzee,psiquico,
97,Hypno,psiquico,
98,Krabby,agua,
99,Kingler,agua,
100,Voltorb,electrico,
101,Electrode,electrico,
102,Exeggcute,planta,psiquico
103,Exeggutor,planta,psiquico
104,Cubone,tierra,
105,Marowak,tierra,
106,Hitmonlee,lucha,
107,Hitmonchan,lucha,
108,Lickitung,normal,
109,Koffing,veneno,
110,Weezing,veneno,
111,Rhyhorn,tierra,roca
112,Rhydon,tierra,roca
113,Chansey,normal,
114,Tangela,planta,
115,Kangaskhan,normal,
116,Horsea,agua,
117,Seadra,agua,
118,Goldeen,agua,
119,Seaking,agua,
120,Staryu,agua,
121,Starmie,agua,psiquico
122,Mr. Mime,psiquico,hada
123,Scyther,bicho,volador
124,Jynx,hielo,psiquico
125,Electabuzz,electrico,
126,Magmar,fuego,
127,Pinsir,bicho,
128,Tauros,normal,
129,Magikarp,agua,
130,Gyarados,agua,volador
131,Lapras,agua,hielo
132,Ditto,normal,
133,Eevee,normal,
134,Vaporeon,agua,
135,Jolteon,electrico,
136,Flareon,fuego,
137,Porygon,normal,
138,Omanyte,roca,agua
139,Omastar,roca,agua
140,Kabuto,roca,agua
141,Kabutops,roca,agua
142,Aerodactyl,roca,volador
143,Snorlax,normal,
144,Articuno,hielo,volador
145,Zapdos,electrico,volador
146,Moltres,fuego,volador
147,Dratini,dragon,
148,Dragonair,dragon,
149,Dragonite,dragon,volador
150,Mewtwo,psiquico,
151,Mew,psiquico,